Layer,Category,Topic Aspect,Fine-grained Dimension
Behavioral Patterns,Personal Choices & Habits,Etiquette and Courtesy,general greeting principles
Behavioral Patterns,Personal Choices & Habits,Etiquette and Courtesy,greeting between men and men
Behavioral Patterns,Personal Choices & Habits,Etiquette and Courtesy,greeting between women and women
Behavioral Patterns,Personal Choices & Habits,Etiquette and Courtesy,greeting between men to women
Behavioral Patterns,Personal Choices & Habits,Etiquette and Courtesy,appointment scheduling before the business meeting
Behavioral Patterns,Personal Choices & Habits,Etiquette and Courtesy,dress code before the business meeting
Behavioral Patterns,Personal Choices & Habits,Etiquette and Courtesy,business card exchange before the business meeting
Behavioral Patterns,Personal Choices & Habits,Etiquette and Courtesy,network building before the business meeting
Behavioral Patterns,Personal Choices & Habits,Etiquette and Courtesy,age and experience before the business meeting
Behavioral Patterns,Personal Choices & Habits,Etiquette and Courtesy,familiarity before the business meeting
Behavioral Patterns,Personal Choices & Habits,Etiquette and Courtesy,socialization during the business meeting
Behavioral Patterns,Personal Choices & Habits,Etiquette and Courtesy,meeting duration during the business meeting
Behavioral Patterns,Personal Choices & Habits,Etiquette and Courtesy,open door policy during the business meeting
Behavioral Patterns,Personal Choices & Habits,Etiquette and Courtesy,interruptions during the business meeting
Behavioral Patterns,Personal Choices & Habits,Etiquette and Courtesy,deference to senior during the business meeting
Behavioral Patterns,Personal Choices & Habits,Etiquette and Courtesy,negotiation style during the business meeting
Behavioral Patterns,Personal Choices & Habits,Etiquette and Courtesy,decision making during the business meeting
Behavioral Patterns,Personal Choices & Habits,Etiquette and Courtesy,bartering during the business meeting
Behavioral Patterns,Personal Choices & Habits,Etiquette and Courtesy,private meetings during the business meeting
Behavioral Patterns,Personal Choices & Habits,Etiquette and Courtesy,confrontation avoidance during the business meeting
Behavioral Patterns,Personal Choices & Habits,Etiquette and Courtesy,follow up after the business meeting
Behavioral Patterns,Personal Choices & Habits,Etiquette and Courtesy,ongoing negotiations after the business meeting
Behavioral Patterns,Personal Choices & Habits,Etiquette and Courtesy,communication style
Behavioral Patterns,Personal Choices & Habits,Etiquette and Courtesy,indirect communication
Behavioral Patterns,Personal Choices & Habits,Etiquette and Courtesy,humour
Behavioral Patterns,Personal Choices & Habits,Etiquette and Courtesy,physical contact
Behavioral Patterns,Personal Choices & Habits,Etiquette and Courtesy,personal space
Behavioral Patterns,Personal Choices & Habits,Etiquette and Courtesy,gestures
Behavioral Patterns,Personal Choices & Habits,Etiquette and Courtesy,beckoning
Behavioral Patterns,Personal Choices & Habits,Etiquette and Courtesy,eye contact
Core Values and Social Structures,Social Relationship and Structures,Fixed Expressions in Language,idiom
Core Values and Social Structures,Social Relationship and Structures,Fixed Expressions in Language,common saying
Core Values and Social Structures,Social Relationship and Structures,Fixed Expressions in Language,proverb
Core Values and Social Structures,Social Relationship and Structures,Fixed Expressions in Language,neologism and abbreviation
Core Values and Social Structures,Social Relationship and Structures,Family Dynamics,communal living
Core Values and Social Structures,Social Relationship and Structures,Family Dynamics,parental care
Core Values and Social Structures,Social Relationship and Structures,Family Dynamics,patriarchy
Core Values and Social Structures,Social Relationship and Structures,Family Dynamics,women roles in the family
Core Values and Social Structures,Social Relationship and Structures,Household Structures,social interaction
Core Values and Social Structures,Social Relationship and Structures,Household Structures,urban rural gap
Core Values and Social Structures,Social Relationship and Structures,Household Structures,concept of seniority and childhood
Core Values and Social Structures,Social Relationship and Structures,Gender Roles,male dominance
Core Values and Social Structures,Social Relationship and Structures,Gender Roles,social compliance
Core Values and Social Structures,Social Relationship and Structures,Gender Roles,honour gender
Core Values and Social Structures,Social Relationship and Structures,Gender Roles,changing attitudes of gender
Core Values and Social Structures,Social Relationship and Structures,Culture Values,power distance
Core Values and Social Structures,Social Relationship and Structures,Culture Values,collectivism
Core Values and Social Structures,Social Relationship and Structures,Culture Values,individualism
Core Values and Social Structures,Social Relationship and Structures,Culture Values,motivation towards achievement and success
Core Values and Social Structures,Social Relationship and Structures,Culture Values,uncertainty avoidance
Core Values and Social Structures,Social Relationship and Structures,Culture Values,long term orientation
Core Values and Social Structures,Social Relationship and Structures,Culture Values,indulgence
Core Values and Social Structures,Values and Beliefs,Religion,religion
Core Values and Social Structures,Values and Beliefs,Do's and Don'ts,modest dress
Core Values and Social Structures,Values and Beliefs,Do's and Don'ts,informality
Core Values and Social Structures,Values and Beliefs,Do's and Don'ts,compliments
Core Values and Social Structures,Values and Beliefs,Do's and Don'ts,cultural acknowledgement
Core Values and Social Structures,Values and Beliefs,Do's and Don'ts,education
Core Values and Social Structures,Values and Beliefs,Do's and Don'ts,insults
Core Values and Social Structures,Values and Beliefs,Do's and Don'ts,dirty jokes
Core Values and Social Structures,Values and Beliefs,Do's and Don'ts,political criticism
Core Values and Social Structures,Values and Beliefs,Do's and Don'ts,sensitive topics
Core Values and Social Structures,Values and Beliefs,Do's and Don'ts,ethnicity assumptions
Core Values and Social Structures,Values and Beliefs,Do's and Don'ts,stereotyping
